,var,AUC_loss
476,DPC_GL.pb1,0.020628074
542,DPC_KS.pb1,0.020409647
755,DPC_YK.pb1,0.020297792
541,DPC_KR.pb1,0.015535691
443,DPC_ET.pb1,0.015406251
532,DPC_KG.pb1,0.015021312
589,DPC_ND.pb1,0.014469318
516,DPC_IL.pb1,0.011264568
632,DPC_QG.pb1,0.010995956
655,DPC_RK.pb1,0.010871012
370,DPC_AE.pb1,0.010139921
537,DPC_KM.pb1,0.009981618
531,DPC_KF.pb1,0.009812061
760,DPC_YQ.pb1,0.009591255
687,DPC_TA.pb1,0.009471504
716,DPC_VL.pb1,0.006758084
718,DPC_VN.pb1,0.005851291
400,DPC_CQ.pb1,0.005727013
562,DPC_LS.pb1,0.005673934
493,DPC_HH.pb1,0.005672076
701,DPC_TR.pb1,0.005592247
503,DPC_HT.pb1,0.005528405
678,DPC_SN.pb1,0.005516293
455,DPC_FK.pb1,0.005429267
663,DPC_RT.pb1,0.005312002
447,DPC_FA.pb1,0.005247052
676,DPC_SL.pb1,0.00524187
474,DPC_GI.pb1,0.005205293
520,DPC_IQ.pb1,0.005188231
714,DPC_VI.pb1,0.005117261
571,DPC_MF.pb1,0.0051162
695,DPC_TK.pb1,0.005051088
441,DPC_ER.pb1,0.004998259
691,DPC_TF.pb1,0.004963409
435,DPC_EK.pb1,0.004911971
666,DPC_RY.pb1,0.004881124
717,DPC_VM.pb1,0.004867161
958,CTDD_charge.1.residue50.pb1,0.004865912
652,DPC_RG.pb1,0.004864978
521,DPC_IR.pb1,0.004851492
674,DPC_SI.pb1,0.004810718
620,DPC_PQ.pb1,0.004763467
670,DPC_SE.pb1,0.004736787
704,DPC_TV.pb1,0.004592396
651,DPC_RF.pb1,0.004572819
442,DPC_ES.pb1,0.004550537
1036,CTDT_secondarystruct.Tr2332.pb1,0.00432513
475,DPC_GK.pb1,0.004319059
703,DPC_TT.pb1,0.004296042
850,CTDD_hydrophobicity_ZIMJ680101.3.residue100.pb1,0.004253712
823,CTDD_hydrophobicity_ARGP820101.1.residue50.pb1,0.004252533
963,CTDD_charge.2.residue50.pb1,0.004157527
354,PAAC_Xc1.L.pb1,0.004061788
99,CTriad_g3.g1.g1.pb1,0.003519893
1009,CTDT_hydrophobicity_ZIMJ680101.Tr2332.pb1,0.003411945
1006,CTDT_hydrophobicity_ARGP820101.Tr2332.pb1,0.003166975
166,CTriad_g4.g3.g5.pb1,0.002958705
349,PAAC_Xc1.Q.pb1,0.002924266
4,CTriad_g1.g1.g4.pb1,0.002718751
27,CTriad_g1.g4.g6.pb1,0.002682997
76,CTriad_g2.g4.g6.pb1,0.002672049
974,CTDD_secondarystruct.1.residue75.pb1,0.002225533
1028,CTDT_polarizability.Tr1221.pb1,0.00221392
364,PAAC_Xc2.lambda1.pb1,0.002147447
263,CTriad_g6.g3.g4.pb1,0.002138853
215,CTriad_g5.g3.g5.pb1,0.002049535
1005,CTDT_hydrophobicity_ARGP820101.Tr1331.pb1,0.002026043
122,CTriad_g3.g4.g3.pb1,0.002023208
148,CTriad_g4.g1.g1.pb1,0.001993472
130,CTriad_g3.g5.g4.pb1,0.00199331
253,CTriad_g6.g2.g1.pb1,0.001982184
218,CTriad_g5.g4.g1.pb1,0.001926588
1004,CTDT_hydrophobicity_ARGP820101.Tr1221.pb1,0.001898499
538,DPC_KN.pb1,0.001872842
345,PAAC_Xc1.R.pb1,0.001858187
973,CTDD_secondarystruct.1.residue50.pb1,0.00174073
12,CTriad_g1.g2.g5.pb1,0.00173258
53,CTriad_g2.g1.g4.pb1,0.001722325
344,PAAC_Xc1.A.pb1,0.001700109
264,CTriad_g6.g3.g5.pb1,0.001678736
255,CTriad_g6.g2.g3.pb1,0.00166596
359,PAAC_Xc1.S.pb1,0.001641377
61,CTriad_g2.g2.g5.pb1,0.001607875
213,CTriad_g5.g3.g3.pb1,0.001583893
69,CTriad_g2.g3.g6.pb1,0.001527737
512,DPC_IG.pb1,0.001483358
352,PAAC_Xc1.H.pb1,0.00143866
