tre.tip.label	V1	PRT	STY	V4	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Mismatch
HMZ572KBE_AFV68428_Suidae_2009.5	HMZ572KBE	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
MHA770NNU_AFV68491_Suidae_2009.5	MHA770NNU	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LRF395AFA_AFV68500_Suidae_2009.5	LRF395AFA	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
NRO384BYK_AFV68509_Suidae_2009.5	NRO384BYK	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
PXX692ZXZ_AFV68437_Suidae_2009.5	PXX692ZXZ	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
NUW537AHU_AEX63492_Suidae_2009.583333	NUW537AHU	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
NWC517FXJ_AFV68383_Suidae_2009.5	NWC517FXJ	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
QFK412KHR_ATE48465_Suidae_2016.969444	QFK412KHR	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
CKO680TUT_ATE48459_Suidae_2017.102778	CKO680TUT	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ZXL429JWZ_ATE48486_Suidae_2016.969444	ZXL429JWZ	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ISW894GSA_AKJ81056_Suidae_2012	ISW894GSA	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
DWP199PXG_ALX29508_Suidae_2013	DWP199PXG	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
XPY476LVE_ALX29943_Suidae_2014	XPY476LVE	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
EKS472PGJ_ALX29253_Suidae_2011	EKS472PGJ	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
BOA751PPO_ALX29439_Suidae_2013	BOA751PPO	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
SAU635WIZ_ALX30295_Suidae_2015	SAU635WIZ	PB1	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
DON031VME_ALX30024_Suidae_2014	DON031VME	PB1	H1N2	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
RIC924LWY_APT36452_Hominidae_2016.75	RIC924LWY	PB1	H1N1	Hominidae	0	0	0	0	0	1	Suidae	FALSE
UZB993FAL_APT36464_Suidae_2016.75	UZB993FAL	PB1	H1N1	Suidae	0.4	0	0.1	0.4	0	0.1	Avian	FALSE
QRL634ROY_AID47994_Suidae_2013.666667	QRL634ROY	PB1	H3N2	Suidae	0.9	0	0	0	0	0.1	Avian	FALSE
XZG082VZW_AIC64631_Suidae_2013.416667	XZG082VZW	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
OWR884YBF_AKJ81255_Suidae_2011.413889	OWR884YBF	PB1	H1N1	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
ELD235QSY_AER40320_Hominidae_2011.266667	ELD235QSY	PB1	H1N1	Hominidae	0.2	0	0	0.3	0	0.5	Suidae	FALSE
SSA237UPI_AKJ81707_Suidae_2011.919444	SSA237UPI	PB1	H1N1	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
CIR424KNT_ADU25465_Hominidae_2009.95	CIR424KNT	PB1	H1N1	Hominidae	0	0	0	0	0	1	Suidae	FALSE
TAD954JGZ_ALX30036_Suidae_2014	TAD954JGZ	PB1	H1N2	Suidae	0	0	0	0.2	0	0.8	Suidae	TRUE
ZOI636NZK_ATE48515_Suidae_2016.880556	ZOI636NZK	PB1	H1N2	Suidae	0.1	0	0	0.1	0	0.8	Suidae	TRUE
OJJ107OZA_AKJ82635_Suidae_2011.186111	OJJ107OZA	PB1	H3N2	Suidae	0	0	0	0.6	0	0.4	Hominidae	FALSE
OED384NWY_AKJ82919_Suidae_2011.780556	OED384NWY	PB1	H3N2	Suidae	0.2	0	0	0.3	0	0.5	Suidae	TRUE
BRC147IAY_AKJ80496_Suidae_2010.894444	BRC147IAY	PB1	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
HGR155DPG_AKJ81207_Suidae_2011	HGR155DPG	PB1	H1N2	Suidae	0	0	0	0.3	0	0.7	Suidae	TRUE
CMG133EXH_APT36542_Suidae_2016.075	CMG133EXH	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
HXE753ULE_AKJ82623_Suidae_2010.930556	HXE753ULE	PB1	H3N2	Suidae	0.1	0	0	0.4	0	0.5	Suidae	TRUE
ICE925GLL_APT36623_Suidae_2016.380556	ICE925GLL	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
SDW260KFC_AKJ80920_Suidae_2012.025	SDW260KFC	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
PDK422AZO_AKJ81417_Suidae_2011.877778	PDK422AZO	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
SYZ289BLM_AKJ80413_Suidae_2010	SYZ289BLM	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
EXO498LCX_AKJ81441_Suidae_2012.008333	EXO498LCX	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
QNH533RMZ_AKJ81754_Suidae_2012.083333	QNH533RMZ	PB1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
ZSQ610ZES_AKJ80836_Suidae_2011.094444	ZSQ610ZES	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
YGW968EUW_AJI76225_Suidae_2013.038889	YGW968EUW	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
WDU491JRM_CAP57890_Suidae_2005.530556	WDU491JRM	PB1	H1N1	Suidae	0.3	0	0.3	0	0	0.4	Suidae	TRUE
ANC013UFU_AJI76215_Suidae_2013.038889	ANC013UFU	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
QUV089WZI_AIE49815_Suidae_2011.997222	QUV089WZI	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
VDE493QWC_AJI76155_Suidae_2012.852778	VDE493QWC	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
YNY161VRQ_AIE50912_Suidae_2012.011111	YNY161VRQ	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
KUL369SLV_ART66959_Suidae_2013.886111	KUL369SLV	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
FMK301VQJ_AJI76095_Suidae_2013.036111	FMK301VQJ	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
QXD413VZP_AJI76265_Suidae_2013.038889	QXD413VZP	PB1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
