"","Iteration","Lh","Tree.No","No.Off.Parmeters","No.Off.Zero","Model.string","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","Root.P.A.","Root.P.B.","Root.P.D.","Root.P.E.","Root.P.H.","Root.P.P.","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"1",11000,-270.12966,1,2,9,"Z Z Z 0 0 Z 0 0 0 0 0 0 0 1 1 0 0 Z 0 0 0 Z 0 0 1 0 Z Z Z 0 	0.000000	0.000000	0.000000	4.410041	4.410041	0.000000	4.410041	4.410041	4.410041	4.410041	4.410041	4.410041	4.410041	25.872231	25.872231	4.410041	4.410041	0.000000	4.410041	4.410041	4.410041	0.000000	4.410041	4.410041	25.872231	4.410041	0.000000	0.000000	0.000000	4.410041	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
12000	-264.803202	1	2	10	Z Z Z 0 0 Z 0 0 0 Z 0 0 0 Z Z 0 0 0 0 0 0 0 0 0 1 0 Z Z Z 0 ",0,0,0,2.277055,2.277055,0,2.277055,2.277055,2.277055,0,2.277055,2.277055,2.277055,0,0,2.277055,2.277055,2.277055,2.277055,2.277055,2.277055,2.277055,2.277055,2.277055,33.824303,2.277055,0,0,0,2.277055,0.166442,0.166953,0.166925,0.166726,0.166512,0.166442,0.166442,0.166953,0.166925,0.166726,0.166512,0.166442
"2",13000,-263.518517,1,2,11,"Z Z Z 0 0 Z 0 0 0 Z 0 0 0 0 0 0 Z 0 Z Z 0 0 0 0 1 0 Z Z Z 0 	0.000000	0.000000	0.000000	4.523104	4.523104	0.000000	4.523104	4.523104	4.523104	0.000000	4.523104	4.523104	4.523104	4.523104	4.523104	4.523104	0.000000	4.523104	0.000000	0.000000	4.523104	4.523104	4.523104	4.523104	33.440874	4.523104	0.000000	0.000000	0.000000	4.523104	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
14000	-268.337758	1	2	9	Z Z 1 1 1 1 1 1 Z Z 1 1 1 1 0 1 Z 1 1 Z 1 1 1 Z 0 1 Z 1 Z 1 ",0,0,2.391795,2.391795,2.391795,2.391795,2.391795,2.391795,0,0,2.391795,2.391795,2.391795,2.391795,54.493258,2.391795,0,2.391795,2.391795,0,2.391795,2.391795,2.391795,0,54.493258,2.391795,0,2.391795,0,2.391795,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"3",15000,-265.148734,1,2,8,"Z 1 Z 1 1 Z 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 Z 1 Z 0 1 Z Z Z 1 	0.000000	3.693774	0.000000	3.693774	3.693774	0.000000	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	3.693774	0.000000	3.693774	0.000000	45.048731	3.693774	0.000000	0.000000	0.000000	3.693774	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
16000	-266.776029	1	2	6	Z 1 Z 1 1 1 1 1 Z 1 1 1 Z 1 1 1 1 1 1 1 1 1 1 1 0 1 Z Z 1 1 ",0,1.900152,0,1.900152,1.900152,1.900152,1.900152,1.900152,0,1.900152,1.900152,1.900152,0,1.900152,1.900152,1.900152,1.900152,1.900152,1.900152,1.900152,1.900152,1.900152,1.900152,1.900152,46.066856,1.900152,0,0,1.900152,1.900152,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"4",17000,-265.945233,1,2,10,"Z Z Z 1 1 Z 1 1 Z 1 1 1 Z 1 1 1 1 1 1 1 1 Z Z 1 0 1 1 Z Z 1 	0.000000	0.000000	0.000000	2.487921	2.487921	0.000000	2.487921	2.487921	0.000000	2.487921	2.487921	2.487921	0.000000	2.487921	2.487921	2.487921	2.487921	2.487921	2.487921	2.487921	2.487921	0.000000	0.000000	2.487921	39.546808	2.487921	2.487921	0.000000	0.000000	2.487921	0.166666	0.166667	0.166667	0.166667	0.166667	0.166667	0.166666	0.166667	0.166667	0.166667	0.166667	0.166667	
18000	-268.003440	1	3	8	Z Z Z 1 1 2 1 1 1 Z 1 1 Z 1 2 1 Z 1 Z 1 1 1 1 1 0 1 1 1 Z 1 ",0,0,0,2.7836,2.7836,5.647591,2.7836,2.7836,2.7836,0,2.7836,2.7836,0,2.7836,5.647591,2.7836,0,2.7836,0,2.7836,2.7836,2.7836,2.7836,2.7836,47.522647,2.7836,2.7836,2.7836,0,2.7836,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"5",19000,-265.323466,1,2,11,"Z 0 Z 0 0 Z Z Z 0 Z 0 0 Z 0 1 0 0 0 0 Z 0 0 0 0 1 0 Z Z Z 0 	0.000000	3.154020	0.000000	3.154020	3.154020	0.000000	0.000000	0.000000	3.154020	0.000000	3.154020	3.154020	0.000000	3.154020	37.495292	3.154020	3.154020	3.154020	3.154020	0.000000	3.154020	3.154020	3.154020	3.154020	37.495292	3.154020	0.000000	0.000000	0.000000	3.154020	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
20000	-265.476188	1	2	12	Z 0 Z 0 0 Z Z Z 0 Z 0 0 1 0 Z 0 Z 0 0 0 0 0 Z 0 1 0 Z Z Z 0 ",0,3.484171,0,3.484171,3.484171,0,0,0,3.484171,0,3.484171,3.484171,28.806153,3.484171,0,3.484171,0,3.484171,3.484171,3.484171,3.484171,3.484171,0,3.484171,28.806153,3.484171,0,0,0,3.484171,0.166676,0.166627,0.166671,0.166676,0.166673,0.166678,0.166676,0.166627,0.166671,0.166676,0.166673,0.166678
"6",21000,-266.993683,1,2,9,"Z 1 Z 1 1 Z 1 Z 1 1 Z 1 0 1 Z 1 1 1 1 Z 1 1 1 1 0 1 Z Z 1 1 	0.000000	2.483057	0.000000	2.483057	2.483057	0.000000	2.483057	0.000000	2.483057	2.483057	0.000000	2.483057	38.185115	2.483057	0.000000	2.483057	2.483057	2.483057	2.483057	0.000000	2.483057	2.483057	2.483057	2.483057	38.185115	2.483057	0.000000	0.000000	2.483057	2.483057	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
22000	-267.728801	1	2	10	Z 1 Z 1 1 Z 1 Z 1 1 Z 1 0 1 1 1 1 1 1 Z 1 1 Z Z 0 1 Z Z 1 1 ",0,2.370516,0,2.370516,2.370516,0,2.370516,0,2.370516,2.370516,0,2.370516,24.047205,2.370516,2.370516,2.370516,2.370516,2.370516,2.370516,0,2.370516,2.370516,0,0,24.047205,2.370516,0,0,2.370516,2.370516,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"7",23000,-264.37441,1,2,10,"Z 1 Z 1 1 1 Z Z 1 1 0 1 0 Z 1 1 Z 1 1 Z 1 1 1 1 0 1 Z Z Z 1 	0.000000	3.175013	0.000000	3.175013	3.175013	3.175013	0.000000	0.000000	3.175013	3.175013	46.581328	3.175013	46.581328	0.000000	3.175013	3.175013	0.000000	3.175013	3.175013	0.000000	3.175013	3.175013	3.175013	3.175013	46.581328	3.175013	0.000000	0.000000	0.000000	3.175013	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
24000	-262.966071	1	2	13	Z 1 Z Z 1 1 1 Z 1 1 1 Z Z 0 Z 1 Z 1 Z Z 1 1 1 1 0 1 Z Z Z 1 ",0,3.34731,0,0,3.34731,3.34731,3.34731,0,3.34731,3.34731,3.34731,0,0,45.389467,0,3.34731,0,3.34731,0,0,3.34731,3.34731,3.34731,3.34731,45.389467,3.34731,0,0,0,3.34731,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"8",25000,-269.331392,1,2,9,"Z 1 Z 1 1 1 1 1 1 1 1 Z Z 0 1 1 1 Z Z Z 1 1 1 1 0 1 1 Z Z 1 	0.000000	1.875179	0.000000	1.875179	1.875179	1.875179	1.875179	1.875179	1.875179	1.875179	1.875179	0.000000	0.000000	34.346239	1.875179	1.875179	1.875179	0.000000	0.000000	0.000000	1.875179	1.875179	1.875179	1.875179	34.346239	1.875179	1.875179	0.000000	0.000000	1.875179	0.166600	0.166678	0.166631	0.166831	0.166635	0.166625	0.166600	0.166678	0.166631	0.166831	0.166635	0.166625	
26000	-267.189989	1	2	11	Z 1 Z 1 1 1 1 1 Z 1 Z 1 Z 0 1 1 1 Z 1 Z 1 Z Z 1 0 1 1 Z Z 1 ",0,1.961044,0,1.961044,1.961044,1.961044,1.961044,1.961044,0,1.961044,0,1.961044,0,58.657131,1.961044,1.961044,1.961044,0,1.961044,0,1.961044,0,0,1.961044,58.657131,1.961044,1.961044,0,0,1.961044,0.166665,0.166667,0.166666,0.166669,0.166666,0.166666,0.166665,0.166667,0.166666,0.166669,0.166666,0.166666
"9",27000,-263.91602,1,3,9,"Z 1 Z 1 1 1 1 1 Z 1 Z 2 1 1 1 1 1 1 1 Z 1 Z Z 1 0 1 1 Z Z 1 	0.000000	2.615195	0.000000	2.615195	2.615195	2.615195	2.615195	2.615195	0.000000	2.615195	0.000000	9.831917	2.615195	2.615195	2.615195	2.615195	2.615195	2.615195	2.615195	0.000000	2.615195	0.000000	0.000000	2.615195	44.340842	2.615195	2.615195	0.000000	0.000000	2.615195	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
28000	-264.466979	1	2	11	Z 0 Z 0 0 0 0 0 Z Z 1 1 0 0 Z 0 Z 0 0 0 0 Z Z 0 1 0 Z Z Z 0 ",0,4.239979,0,4.239979,4.239979,4.239979,4.239979,4.239979,0,0,49.177034,49.177034,4.239979,4.239979,0,4.239979,0,4.239979,4.239979,4.239979,4.239979,0,0,4.239979,49.177034,4.239979,0,0,0,4.239979,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"10",29000,-264.54634,1,2,10,"Z 0 Z 0 0 0 0 0 0 Z 1 1 0 0 Z 0 Z 0 0 0 0 Z Z 0 1 0 Z Z Z 0 	0.000000	3.989998	0.000000	3.989998	3.989998	3.989998	3.989998	3.989998	3.989998	0.000000	42.559485	42.559485	3.989998	3.989998	0.000000	3.989998	0.000000	3.989998	3.989998	3.989998	3.989998	0.000000	0.000000	3.989998	42.559485	3.989998	0.000000	0.000000	0.000000	3.989998	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
30000	-269.334450	1	2	10	Z Z Z 1 1 1 1 1 1 Z 0 Z 1 1 1 Z Z 1 1 Z 1 1 1 1 0 1 Z Z 1 1 ",0,0,0,2.644808,2.644808,2.644808,2.644808,2.644808,2.644808,0,28.566121,0,2.644808,2.644808,2.644808,0,0,2.644808,2.644808,0,2.644808,2.644808,2.644808,2.644808,28.566121,2.644808,0,0,2.644808,2.644808,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
